Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
f.30750.0.0	f.90012.0.0	201/916	3.2518878898705217	0.0005599021177169666	-0.3433155158292583	0.07569748836904491
f.30870.0.0	f.21001.0.0	861/916	2.8337114070842153	0.0014665220354242174	0.04302989394687442	0.013355459434654132
f.30710.0.0	f.21001.0.0	861/916	2.300449120459789	0.005006692047288101	-0.17767162704070752	0.06267532738758429
f.30890.0.0	f.21001.0.0	819/916	1.6352421580924803	0.023161028549595744	0.7403164803033055	0.32356138406756857
f.30600.0.0	f.21001.0.0	785/916	1.523332249064353	0.029968689419004896	-0.09477922379451438	0.0433472751824438
f.30790.0.0	f.21001.0.0	692/916	1.2218288104668849	0.060002754758537585	1.3052971382704255	0.689279448547792
f.30640.0.0	f.21001.0.0	854/916	1.18445030166634	0.06539577611454547	-0.007141348149423344	0.0038567154501411897
f.30750.0.0	f.21001.0.0	854/916	0.9997428451834027	0.10005922961854428	0.17693905058196102	0.10713919262243005
f.30670.0.0	f.90012.0.0	201/916	0.7904154242994751	0.1620259496967376	0.025399673727060073	0.01726996707613166
f.30650.0.0	f.21001.0.0	859/916	0.7523050573273006	0.176886603415745	-0.18130422335490975	0.1338245337305154
f.30780.0.0	f.90012.0.0	201/916	0.7397366945436107	0.182080444721359	-0.03381071233597274	0.024237061328075994
f.30680.0.0	f.21001.0.0	789/916	0.7226824085556365	0.1893727960304542	-0.0021598725666121072	0.0016400389909362568
f.30810.0.0	f.21001.0.0	780/916	0.7203726935602559	0.19038262318168866	-0.0029539963985032777	0.002248367187810157
f.30850.0.0	f.21001.0.0	770/916	0.7108735993149209	0.19459263578347838	-0.1267544019684366	0.09737553355268193
f.30740.0.0	f.21001.0.0	781/916	0.6829536637853832	0.2075134908172902	-0.021347918194635593	0.01688161966761719
f.30790.0.0	f.90012.0.0	201/916	0.663314269379421	0.21711295115128015	-1.3115897639674847	0.7370359853650311
f.30710.0.0	f.90012.0.0	201/916	0.6352007983335212	0.23163234380462966	0.05744344226716378	0.04640136844224993
f.30670.0.0	f.21001.0.0	863/916	0.5917690585783563	0.2559946808168443	0.021067831294755982	0.018499275337123713
f.30830.0.0	f.90012.0.0	201/916	0.5350695301396707	0.29169599740568314	1.3508177730616704	1.1687081411681868
f.30660.0.0	f.90012.0.0	201/916	0.5133574316916617	0.3066497170600678	-0.020297319433472145	0.018840990733099285
f.30690.0.0	f.21001.0.0	860/916	0.5072544606032444	0.31098936630283314	-0.01724342219548378	0.016980978310371254
f.30690.0.0	f.90012.0.0	201/916	0.48595346901937886	0.32662282517095287	0.017668752718085656	0.01746015489477383
f.30730.0.0	f.90012.0.0	201/916	0.4666025994626458	0.34150526258844593	-0.37385800421235355	0.3805731534308632
f.30870.0.0	f.90012.0.0	201/916	0.4365435141038448	0.36597926945481984	-0.01974493789531843	0.02107880785732568
f.30760.0.0	f.90012.0.0	201/916	0.41005701669103894	0.3889940722504966	-0.01460485010850831	0.01548818331563558
f.30860.0.0	f.90012.0.0	201/916	0.39475468162911487	0.40294457991683896	-0.08664974128502238	0.09872720029004192
f.30830.0.0	f.21001.0.0	775/916	0.38621872288304	0.4109427067057353	-0.36790300580467505	0.4464343262989756
f.30770.0.0	f.90012.0.0	201/916	0.3747917586539923	0.421898752611519	-0.05749186080411713	0.06962581101605415
f.30880.0.0	f.21001.0.0	860/916	0.34821972116308575	0.4485184150913548	0.870462913284515	1.1464933517862437
f.30730.0.0	f.21001.0.0	858/916	0.34330633986331094	0.45362153111988746	0.41586721231948437	0.5539326519707523
f.30610.0.0	f.90012.0.0	201/916	0.3408245694524708	0.45622116643037514	0.33388520956511175	0.4372538712138285
f.30760.0.0	f.21001.0.0	782/916	0.33478474953137405	0.4626102492719453	0.00438837858957062	0.005961967149035672
f.30770.0.0	f.21001.0.0	854/916	0.3140071124400695	0.4852805526581704	0.061006506951022034	0.08727002116619097
f.30700.0.0	f.90012.0.0	201/916	0.2973797546060986	0.5042202058740285	-0.12037240913753156	0.17559725454759093
f.30700.0.0	f.21001.0.0	862/916	0.2969934894062444	0.5046688630967264	-0.17829964615192062	0.2668219902029438
f.30780.0.0	f.21001.0.0	859/916	0.25925749520146363	0.5504812167768579	0.007496537087269033	0.012537184975369467
f.30640.0.0	f.90012.0.0	201/916	0.2451296059610165	0.5686831941010164	0.00429949431765112	0.007351876628619862
f.30630.0.0	f.90012.0.0	201/916	0.24203318250828196	0.5727522678625576	-0.0030391829134001	0.005270741271802218
f.30810.0.0	f.90012.0.0	201/916	0.20398309895791825	0.6251970225243402	0.001802728416439258	0.0035957677478273675
f.30630.0.0	f.21001.0.0	777/916	0.1949473806905556	0.638340823158791	-0.0018229453934429948	0.0038726138080597394
f.30840.0.0	f.90012.0.0	201/916	0.1872142530063389	0.6498090372074985	-0.022939857909239015	0.04963353269130588
f.30620.0.0	f.90012.0.0	201/916	0.17022256401952943	0.6757365901601402	0.12119447269897653	0.28445036811394325
f.30660.0.0	f.21001.0.0	766/916	0.16267094191453535	0.6875892182124294	0.004965362979785244	0.012329496573185198
f.30650.0.0	f.90012.0.0	201/916	0.15479247009023764	0.7001764991084999	0.05841945443580271	0.1490009913642333
f.30620.0.0	f.21001.0.0	860/916	0.1435913577010655	0.7184700059366896	-0.08017789268381893	0.2221231673715492
f.30890.0.0	f.90012.0.0	201/916	0.14333018063149228	0.718902211119884	-0.31727147528672667	0.8541621051549125
f.30740.0.0	f.90012.0.0	201/916	0.14302203115324794	0.7194124822863368	-0.005656216527635003	0.01540561972805024
f.30600.0.0	f.90012.0.0	201/916	0.13331529701119255	0.735672806439359	-0.015618566371886085	0.04510523567845351
f.30720.0.0	f.90012.0.0	201/916	0.12848763221966225	0.7438962471840447	0.001823825934566179	0.00545505551105399
f.30850.0.0	f.90012.0.0	201/916	0.1131396803472412	0.7706555664217696	0.10463249084919797	0.3452582551168778
f.30860.0.0	f.21001.0.0	787/916	0.05138809600275465	0.8884068612716892	0.009917953747430208	0.07058699231486783
f.30840.0.0	f.21001.0.0	859/916	0.039395673131969504	0.9132807986194892	-0.006876352235126064	0.06307140511394545
f.30880.0.0	f.90012.0.0	201/916	0.0276969309601223	0.9382165056513397	-0.12151297052039245	1.544661045889998
f.30680.0.0	f.90012.0.0	201/916	0.024146037480878825	0.9459190296228492	-0.00014501776226233604	0.0020970101417441896
f.30720.0.0	f.21001.0.0	860/916	0.022543235423052692	0.9494164770103057	0.0001664369323685933	0.0026204895493187057
f.30610.0.0	f.21001.0.0	859/916	0.001050023955235211	0.9975851509439494	-0.0009656804969330154	0.3187102192754569
