MR_Method	Outcome	P_value	Effect_Size	Standard_Error	Number_SNPs
Egger	example2	0.0009552929210985273	0.7868462165605311	0.16345917769948345	11
Inverse Variance Weighted	example2	0.0	0.8757757672950739	0.07242983187342007	11
Simple Median	example2	0.0	0.8986455146985434	0.10679404959875739	11
Weighted Median	example2	0.0	0.7720414807670213	0.07117503906796205	11
Penalized Weighted Median	example2	0.0	0.770060742826323	0.07003277310190341	11
Simple Mode	example2	4.686677404290711e-06	0.8282059638908205	0.09330777227544944	11
Weighted Mode	example2	8.21975662339849e-07	0.7726996487212654	0.07193482072144092	11
Penalized Mode	example2	6.386089941695282e-07	0.7726996487212654	0.07000582147329185	11
Simple Mode (NOME)	example2	3.2485173553483227e-06	0.8282059638908205	0.08958522832635847	11
Weighted Mode (NOME)	example2	1.0235658198072444e-07	0.7766643855190908	0.057931659754271045	11
MR PRESSO Raw	example2	2.7201877531062755e-07	0.8757757672950739	0.07242983187342007	11
