Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
f.41233.0.0	f.90012.0.0	201/916	1.7043019215848627	0.019755957281673994	-0.17636030207921624	0.06234106684691365
f.41246.0.4	f.21001.0.0	167/916	1.6463949492202263	0.02257381963882906	68.66519097094924	23.574485968371103
f.41249.0.1	f.21001.0.0	536/916	1.5969047252036799	0.02529852930473938	21.79970128903382	9.621979025593234
f.41244.0.2	f.21001.0.0	194/916	1.5788514644649327	0.02637233206782678	17.83781863967471	7.2430634676592325
f.41218.0.0	f.21001.0.0	659/916	1.2951727536713011	0.050678907760140626	0.055497754790262595	0.0281801002934552
f.41246.0.2	f.21001.0.0	362/916	1.0231032919355811	0.09481929197261596	54.918678444663826	32.48603951021752
f.41213.0.0	f.21001.0.0	755/916	0.9088097115095273	0.12336452432047063	0.046553353819257674	0.030078826523000785
f.41253.0.1	f.21001.0.0	439/916	0.8942509799196968	0.1275701364583248	-0.9233504835999021	0.6004401932077543
f.41246.0.0	f.21001.0.0	753/916	0.8876244785921295	0.1295315377707812	-15.945472954683256	10.473748992833487
f.41213.0.1	f.21001.0.0	166/916	0.7312038496815618	0.18569326411592083	-0.2125624830317853	0.1541143362560554
f.41253.0.2	f.21001.0.0	154/916	0.7159388299740752	0.19233626138986668	4.975773270477163	1.5507586378065434
f.41207.0.2	f.21001.0.0	326/916	0.6392158929917341	0.22950074887668032	7.125531555693733	5.8435294484677724
f.41253.0.0	f.90012.0.0	201/916	0.6348854851197205	0.23180057817517838	0.5212229890467138	0.4094303826713978
f.41207.0.1	f.21001.0.0	505/916	0.6229978492573737	0.23823312672721636	-2.9503359353790968	2.489367841873171
f.41245.0.0	f.21001.0.0	685/916	0.6037564642380231	0.24902533658183051	-4.759176118708536	4.113338103374063
f.41245.0.2	f.21001.0.0	324/916	0.5952847021653032	0.25393075143168414	10.036049318006343	8.7096828482039
f.41247.0.1	f.21001.0.0	432/916	0.5831782232370838	0.26110896107772624	-0.012119595838665963	0.010713779371564518
f.41246.0.3	f.21001.0.0	259/916	0.5540987877597435	0.2791908701284289	-48.195824982704885	43.91770030725655
f.41206.0.1	f.21001.0.0	436/916	0.542668573667989	0.28663645652696734	0.07877584613943112	0.07351130387468925
f.41213.0.0	f.90012.0.0	201/916	0.5390365201950581	0.28904368128377295	-0.07794921223896568	0.06864844339076652
f.40012.0.0	f.21001.0.0	161/916	0.5130936288532704	0.3068360414161974	0.039435281224925456	0.034664488655256176
f.40019.0.0	f.21001.0.0	169/916	0.5029365751885811	0.3140967370477817	0.2564212383193204	0.24618089789011724
f.41231.0.0	f.21001.0.0	660/916	0.46511246213359597	0.3426790370745685	0.0011901730177258844	0.0012505379547317053
f.41246.0.1	f.21001.0.0	550/916	0.44117604311758163	0.3620961914311913	-17.149941311260125	18.74335754099018
f.41212.0.0	f.90012.0.0	201/916	0.4323276266179306	0.3695492909862255	-0.034718329766845205	0.03620639200212934
f.41249.0.0	f.21001.0.0	750/916	0.40432348910561694	0.3941635955378079	3.311145613075542	3.8768917376777345
f.41206.0.2	f.21001.0.0	195/916	0.36218810643006155	0.4343220650485542	-0.03783320355345424	0.04677161100720968
f.41211.0.0	f.21001.0.0	747/916	0.35305366950389877	0.44355382678361654	0.0691925959767976	0.0901042278263869
f.41212.0.1	f.21001.0.0	527/916	0.33129526780416785	0.4663422161163413	-0.14938362025422772	0.20441313146095455
f.41244.0.1	f.21001.0.0	426/916	0.33108873949314	0.466564037434929	5.316578998346233	7.266838204164952
f.41209.0.0	f.90012.0.0	201/916	0.3284838714252109	0.46937086521454763	-0.02758434223909181	0.03606628762062993
f.41244.0.0	f.21001.0.0	690/916	0.3126792073133845	0.48676662429597983	1.9274177259061473	2.7651590809525373
f.41251.0.0	f.21001.0.0	755/916	0.27324734199213563	0.5330312338862807	-0.0011924974865085147	0.0019093293422887485
f.41207.0.3	f.21001.0.0	220/916	0.2507154223724775	0.56141573116252	-3.826094239495192	6.5196056259286115
f.41247.0.0	f.21001.0.0	744/916	0.23273416649361808	0.5851481462259469	3.816034103535663	6.978144957841129
f.41244.0.0	f.90012.0.0	201/916	0.23115978037846452	0.5872732503007703	-3.3078596199514467	5.458215179687136
f.41233.0.0	f.21001.0.0	749/916	0.221087603909984	0.6010524836777492	0.05464450241910058	0.10432740890129374
f.41211.0.0	f.90012.0.0	201/916	0.20496667820397899	0.6237826941662932	0.037203572134899415	0.07011511974771971
f.41235.0.0	f.21001.0.0	606/916	0.15472756695388412	0.7002811448005801	0.03355335733270757	0.08699129602093403
f.41209.0.0	f.21001.0.0	744/916	0.1429102430442217	0.7195976840689766	0.0034250721376684334	0.009526368012258682
f.41211.0.1	f.21001.0.0	182/916	0.14013105636747736	0.7242173811485875	-1.6782471421305505	4.624273457724068
f.41248.0.0	f.90012.0.0	201/916	0.1297492473265959	0.7417383821273358	3.533284775869561e-14	1.0304033709459676e-13
f.41250.0.0	f.21001.0.0	750/916	0.12740768053669116	0.7457483814636514	0.0009205604448835223	0.0028349362168479863
f.41249.0.0	f.90012.0.0	201/916	0.112010474950952	0.7726619486774204	-1.6796842159821441	5.620276956015635
f.41253.0.0	f.21001.0.0	756/916	0.10286022290697439	0.789114052045069	-0.05962947005378631	0.2226200405426426
f.41232.0.0	f.21001.0.0	278/916	0.09734755553299265	0.7991944227528016	-0.010738290792088961	0.041900811617055805
f.41235.0.0	f.90012.0.0	201/916	0.09055322749549667	0.8117957484714212	0.061309037936451094	0.23594460996600417
f.41249.0.3	f.21001.0.0	160/916	0.09051946432435186	0.8118588620162055	-14.81541895282657	60.440714872255015
f.41207.0.4	f.21001.0.0	131/916	0.0769026456118566	0.8377170493996758	4.707247188375932	18.06433581550096
f.41246.0.0	f.90012.0.0	201/916	0.0723970210984852	0.8464532540481279	-1.7571417542577554	8.744256382263625
f.41214.0.0	f.21001.0.0	654/916	0.06427587104478424	0.8624305435756463	0.1515123067831714	0.872967168579426
f.40009.0.0	f.21001.0.0	171/916	0.0639052668489763	0.8631668107948316	0.01365871422533268	0.07741969202573873
f.41248.0.0	f.21001.0.0	745/916	0.056433706020229096	0.8781451235498217	0.0003549204098575835	0.002311817042474773
f.41214.0.1	f.21001.0.0	179/916	0.055161514845492574	0.8807212703776794	-0.39324203626766036	2.581542379742417
f.41249.0.2	f.21001.0.0	307/916	0.05102498180535568	0.889149970050906	3.3580277818114004	23.94686319561524
f.41251.0.0	f.90012.0.0	201/916	0.04860573911745443	0.8941168118444074	2.821354261328679e-14	2.0607578043831573e-13
f.41245.0.0	f.90012.0.0	201/916	0.04639744902099687	0.8986747737094504	-2.4186687156658837	17.47292928980445
f.41247.0.0	f.90012.0.0	201/916	0.041168925068686635	0.9095594176351136	1.5830271245451883	13.251093341997903
f.41206.0.0	f.21001.0.0	688/916	0.03302877210707691	0.9267684227290792	0.0021137151823241943	0.022964759052956165
f.41245.0.1	f.21001.0.0	500/916	0.03156959168328687	0.9298874969240374	0.38987056494396377	4.4214195781475665
f.41250.0.0	f.90012.0.0	201/916	0.025736705890160957	0.9424607969006251	6.678685382510707e-15	9.044405047225108e-14
