PheWAS_Category	Ethnicity	Description	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error	Category
example	White	Systolic blood pressure, automated reading	f.4080.0.1	f.90012.0.0	201/916	1.8960443181634623	0.0127044445438349	-1.154312940732998	0.4042034531226446	Blood pressure
example	White	Leg fat-free mass (left)	f.23117.0.0	f.90012.0.0	201/916	1.871915396030981	0.0134302656775739	-0.0936467127909364	0.0343600749237288	Body composition by impedance
example	White	Waist circumference	f.48.0.0	f.21001.0.0	914/916	1.5147418229255794	0.0305673772638738	0.4122749791300193	0.1894919471756694	Body size measures
example	White	Hip circumference	f.49.0.0	f.90012.0.0	201/916	1.3497058009645753	0.0446986286310263	-0.2208239577193349	0.1027377067879041	Body size measures
example	White	Trunk predicted mass	f.23130.0.0	f.21001.0.0	903/916	1.300889897118212	0.0500161320430203	0.156982413527845	0.0796841688831814	Body composition by impedance
example	White	Leg fat mass (left)	f.23116.0.0	f.21001.0.0	905/916	1.1069914728301942	0.0781643151636762	-0.0510332203680786	0.028845487756229	Body composition by impedance
example	White	Weight	f.21002.0.0	f.21001.0.0	914/916	0.9939882141968028	0.1013938901449395	-0.3575590815863757	0.2174241535993911	Body size measures
example	White	Impedance of leg (right)	f.23107.0.0	f.90012.0.0	201/916	0.9540691906331324	0.1111554623270011	0.8873974195883741	0.5311269145390953	Body composition by impedance
example	White	Pulse rate, automated reading	f.102.0.0	f.21001.0.0	860/916	0.8733983436897776	0.1338448472208569	-0.2558654364245135	0.1700336078745258	Blood pressure
example	White	Systolic blood pressure, automated reading	f.4080.0.0	f.90012.0.0	201/916	0.8595369321010544	0.1381856888754677	-0.4907005840630761	0.3170478576797093	Blood pressure
example	White	Forced vital capacity (FVC)	f.3062.0.1	f.90012.0.0	201/916	0.8260429362091174	0.1492646832837028	0.0303891854518031	0.0199906446423373	Spirometry
example	White	Impedance of arm (left)	f.23110.0.0	f.90012.0.0	201/916	0.8217687649997738	0.150740945503065	1.5566703188688185	1.0396429881815883	Body composition by impedance
example	White	Arm fat mass (left)	f.23124.0.0	f.90012.0.0	201/916	0.8027973254517626	0.1574717574961178	0.0128631184149966	0.0087403015982105	Body composition by impedance
example	White	Method of measuring blood pressure	f.4081.0.1	f.90012.0.0	201/916	0.7567200911816453	0.1750974852609912	-0.0082177592746871	0.0058338394194591	Blood pressure
example	White	Trunk predicted mass	f.23130.0.0	f.90012.0.0	201/916	0.7475931435249071	0.1788161979284439	-0.1449368234030579	0.1038234898901344	Body composition by impedance
example	White	Trunk fat mass	f.23128.0.0	f.21001.0.0	902/916	0.6542479882637641	0.2216930159974182	0.0883166264186294	0.0720790179019221	Body composition by impedance
example	White	Waist circumference	f.48.0.0	f.90012.0.0	201/916	0.6412482151863409	0.2284292873262956	-0.2541503167490981	0.2042098310596017	Body size measures
example	White	Sitting height	f.20015.0.0	f.21001.0.0	910/916	0.6362849177975703	0.2310548463357204	0.0765267426693538	0.0637314362457209	Body size measures
example	White	Impedance of leg (left)	f.23108.0.0	f.21001.0.0	903/916	0.6351050523398154	0.2316834158645773	-0.6832277831731423	0.5697548229552512	Body composition by impedance
example	White	Impedance of arm (right)	f.23109.0.0	f.21001.0.0	903/916	0.6156411574085112	0.2423030286422581	-0.946473446650014	0.8074147128712702	Body composition by impedance
example	White	Arm fat percentage (left)	f.23123.0.0	f.90012.0.0	201/916	0.6143145566401763	0.2430443017502529	0.2444040543289433	0.2028455634427956	Body composition by impedance
example	White	Heel bone mineral density (BMD) T-score, automated (left)	f.4106.0.0	f.21001.0.0	275/916	0.5915651963824532	0.2561148755017037	-0.0386193195150524	0.0333987959009732	Bone-densitometry of heel
example	White	Forced expiratory volume in 1-second (FEV1)	f.3063.0.2	f.21001.0.0	631/916	0.5780204785133727	0.2642284161386359	-0.0151267355232862	0.0134991904096757	Spirometry
example	White	Trunk fat mass	f.23128.0.0	f.90012.0.0	201/916	0.5693639358453512	0.2695479691959914	-0.0889088653324411	0.0780439851615241	Body composition by impedance
example	White	Pulse rate, automated reading	f.102.0.1	f.21001.0.0	846/916	0.5674120820075581	0.2707621275663622	0.1959146223464655	0.1774304341824477	Blood pressure
example	White	Arm fat mass (right)	f.23120.0.0	f.90012.0.0	201/916	0.5570242184088016	0.2773165454915019	0.0127588960333448	0.0113889402776683	Body composition by impedance
example	White	Arm predicted mass (left)	f.23126.0.0	f.90012.0.0	201/916	0.5521817585362306	0.2804259768964255	-0.0188681831912478	0.0169552470819764	Body composition by impedance
example	White	Arm predicted mass (right)	f.23122.0.0	f.90012.0.0	201/916	0.5413173603627082	0.2875296526100416	-0.0163357163410939	0.014904947065148	Body composition by impedance
example	White	Impedance of whole body	f.23106.0.0	f.21001.0.0	905/916	0.5324627911467897	0.2934520912815746	1.3180740471227996	1.2517850780846982	Body composition by impedance
example	White	Diastolic blood pressure, automated reading	f.4079.0.1	f.90012.0.0	201/916	0.5249460930198286	0.2985753203755429	-0.2442544843853955	0.2277870512572194	Blood pressure
example	White	Leg fat mass (right)	f.23112.0.0	f.21001.0.0	903/916	0.4918139310351311	0.3222449120460492	0.0267721322515077	0.0269893063782982	Body composition by impedance
example	White	Forced vital capacity (FVC)	f.3062.0.2	f.21001.0.0	620/916	0.4884040268181109	0.3247850073133175	0.018088313403824	0.0183074993099767	Spirometry
example	White	Arm fat mass (left)	f.23124.0.0	f.21001.0.0	903/916	0.4670156093441864	0.3411806487401627	0.0073771056704244	0.0077345538918494	Body composition by impedance
example	White	Whole body fat mass	f.23100.0.0	f.21001.0.0	904/916	0.464926880156397	0.3428255013873699	0.126544429759826	0.1331308793395377	Body composition by impedance
example	White	Impedance of whole body	f.23106.0.0	f.90012.0.0	201/916	0.4457377285307128	0.3583127577033478	-1.240929364710897	1.318164628002452	Body composition by impedance
example	White	Heel bone mineral density (BMD) T-score, automated	f.78.0.0	f.21001.0.0	529/916	0.4410566168321739	0.3621957776595207	-0.0217526554878636	0.0237832947022177	Bone-densitometry of heel
example	White	Arm fat-free mass (left)	f.23125.0.0	f.90012.0.0	201/916	0.440874889569348	0.3623473674748763	0.0113116833273488	0.0121028053911141	Body composition by impedance
example	White	Standing height	f.50.0.0	f.90012.0.0	201/916	0.4307954695606703	0.3708553345152839	-0.1995977838336771	0.2177656939458323	Body size measures
example	White	Pulse wave Arterial Stiffness index	f.21021.0.0	f.21001.0.0	293/916	0.4252909286411537	0.3755857196489739	-0.1098376484427658	0.1227330175460808	Arterial stiffness
example	White	Leg predicted mass (left)	f.23118.0.0	f.90012.0.0	201/916	0.4120342353156262	0.3872271187102309	-0.0363810097339561	0.0411091383467426	Body composition by impedance
example	White	Arm predicted mass (right)	f.23122.0.0	f.21001.0.0	904/916	0.4105516586760437	0.3885512776148998	0.0098797491814883	0.0114367015110287	Body composition by impedance
example	White	Trunk fat-free mass	f.23129.0.0	f.21001.0.0	903/916	0.4055201704326411	0.3930789882689268	0.078296613236716	0.0915070764804449	Body composition by impedance
example	White	Peak expiratory flow (PEF)	f.3064.0.1	f.21001.0.0	833/916	0.3994714149655082	0.398592006566363	-1.656567390647238	1.95845381086012	Spirometry
example	White	Weight method	f.21.0.0	f.90012.0.0	201/916	0.3858116773437607	0.4113280461833115	0.0042136261265253	0.0050159348354452	Body size measures
example	White	Impedance of arm (left)	f.23110.0.0	f.21001.0.0	905/916	0.3630527275847474	0.4334582491348058	-0.6208413132517667	0.791243452230668	Body composition by impedance
example	White	Leg fat percentage (right)	f.23111.0.0	f.90012.0.0	201/916	0.3591888934286185	0.4373318492751195	-0.1208916522463282	0.15198358558147	Body composition by impedance
example	White	Arm fat percentage (right)	f.23119.0.0	f.21001.0.0	903/916	0.3483745427414924	0.4483585513216177	-0.1169885930716655	0.1540463790606036	Body composition by impedance
example	White	Arm fat mass (right)	f.23120.0.0	f.21001.0.0	903/916	0.3472511462997742	0.4495198288152825	0.0072832763445424	0.0096149728092536	Body composition by impedance
example	White	Pulse rate, automated reading	f.102.0.0	f.90012.0.0	201/916	0.3452293643142022	0.4516173683158384	0.1364253127997125	0.1757982310708124	Blood pressure
example	White	Hand grip strength (right)	f.47.0.0	f.21001.0.0	913/916	0.3440929053248736	0.4528007053212675	-0.119287192191567	0.1586278068108654	Hand grip strength
example	White	Leg fat-free mass (right)	f.23113.0.0	f.21001.0.0	905/916	0.3302503235846211	0.4674656204778177	-0.0213813622531002	0.0293782054768851	Body composition by impedance
example	White	Whole body fat-free mass	f.23101.0.0	f.90012.0.0	201/916	0.3058757962671438	0.4944520749507886	0.1439421087824203	0.2066177639145149	Body composition by impedance
